frame_id,ts,state,n_kps,n_map_pts,n_inliers,n_lost_kps,reproj_mean_px,reproj_std_px,reproj_median_px,n_reproj,obs_per_mp,n_local_mps,n_local_kfs,is_kf,n_global_kfs,n_global_mps,image_name
0,1403715523.91,1,3715,0,0,3715,0,0,0,0,0,0,0,0,0,0,
1,1403715523.96,1,3805,0,0,3805,0,0,0,0,0,0,0,0,0,0,
2,1403715524.01,1,3764,0,0,3764,0,0,0,0,0,0,0,0,0,0,
3,1403715524.06,1,3755,0,0,3755,0,0,0,0,0,0,0,0,0,0,
4,1403715524.11,1,3763,0,0,3763,0,0,0,0,0,0,0,0,0,0,
5,1403715524.16,1,3700,0,0,3700,0,0,0,0,0,0,0,0,0,0,
6,1403715524.21,1,3774,0,0,3774,0,0,0,0,0,0,0,0,0,0,
7,1403715524.26,1,3769,0,0,3769,0,0,0,0,0,0,0,0,0,0,
8,1403715524.31,1,3773,0,0,3773,0,0,0,0,0,0,0,0,0,0,
9,1403715524.36,1,3804,0,0,3804,0,0,0,0,0,0,0,0,0,0,
10,1403715524.41,1,3748,0,0,3748,0,0,0,0,0,0,0,0,0,0,
11,1403715524.46,1,3712,0,0,3712,0,0,0,0,0,0,0,0,0,0,
12,1403715524.51,1,3744,0,0,3744,0,0,0,0,0,0,0,0,0,0,
13,1403715524.56,1,3752,0,0,3752,0,0,0,0,0,0,0,0,0,0,
14,1403715524.61,1,3710,0,0,3710,0,0,0,0,0,0,0,0,0,0,
15,1403715524.66,1,3802,0,0,3802,0,0,0,0,0,0,0,0,0,0,
16,1403715524.71,1,3764,0,0,3764,0,0,0,0,0,0,0,0,0,0,
17,1403715524.76,1,3797,0,0,3797,0,0,0,0,0,0,0,0,0,0,
18,1403715524.81,1,3751,0,0,3751,0,0,0,0,0,0,0,0,0,0,
19,1403715524.86,1,3746,0,0,3746,0,0,0,0,0,0,0,0,0,0,
20,1403715524.91,1,3713,0,0,3713,0,0,0,0,0,0,0,0,0,0,
21,1403715524.96,1,3749,0,0,3749,0,0,0,0,0,0,0,0,0,0,
22,1403715525.01,1,3815,0,0,3815,0,0,0,0,0,0,0,0,0,0,
23,1403715525.06,1,3797,0,0,3797,0,0,0,0,0,0,0,0,0,0,
24,1403715525.11,1,3757,0,0,3757,0,0,0,0,0,0,0,0,0,0,
25,1403715525.16,1,3810,0,0,3810,0,0,0,0,0,0,0,0,0,0,
26,1403715525.21,1,3748,0,0,3748,0,0,0,0,0,0,0,0,0,0,
27,1403715525.26,1,3783,0,0,3783,0,0,0,0,0,0,0,0,0,0,
28,1403715525.31,1,3758,0,0,3758,0,0,0,0,0,0,0,0,0,0,
29,1403715525.36,1,3752,0,0,3752,0,0,0,0,0,0,0,0,0,0,
30,1403715525.41,1,3790,0,0,3790,0,0,0,0,0,0,0,0,0,0,
31,1403715525.46,1,3736,0,0,3736,0,0,0,0,0,0,0,0,0,0,
32,1403715525.51,1,3706,0,0,3706,0,0,0,0,0,0,0,0,0,0,
33,1403715525.56,1,3763,0,0,3763,0,0,0,0,0,0,0,0,0,0,
34,1403715525.61,1,3793,0,0,3793,0,0,0,0,0,0,0,0,0,0,
35,1403715525.66,1,3750,0,0,3750,0,0,0,0,0,0,0,0,0,0,
36,1403715525.71,1,3784,0,0,3784,0,0,0,0,0,0,0,0,0,0,
37,1403715525.76,1,3791,0,0,3791,0,0,0,0,0,0,0,0,0,0,
38,1403715525.81,1,3833,0,0,3833,0,0,0,0,0,0,0,0,0,0,
39,1403715525.86,1,3831,0,0,3831,0,0,0,0,0,0,0,0,0,0,
40,1403715525.91,1,3696,0,0,3696,0,0,0,0,0,0,0,0,0,0,
41,1403715525.96,1,3810,0,0,3810,0,0,0,0,0,0,0,0,0,0,
42,1403715526.01,1,3740,0,0,3740,0,0,0,0,0,0,0,0,0,0,
43,1403715526.06,1,3831,0,0,3831,0,0,0,0,0,0,0,0,0,0,
44,1403715526.11,1,3800,0,0,3800,0,0,0,0,0,0,0,0,0,0,
45,1403715526.16,1,3846,0,0,3846,0,0,0,0,0,0,0,0,0,0,
46,1403715526.21,1,3775,0,0,3775,0,0,0,0,0,0,0,0,0,0,
47,1403715526.26,1,3854,0,0,3854,0,0,0,0,0,0,0,0,0,0,
48,1403715526.31,1,3822,0,0,3822,0,0,0,0,0,0,0,0,0,0,
49,1403715526.36,1,3853,0,0,3853,0,0,0,0,0,0,0,0,0,0,
50,1403715526.41,1,3785,0,0,3785,0,0,0,0,0,0,0,0,0,0,
51,1403715526.46,1,3777,0,0,3777,0,0,0,0,0,0,0,0,0,0,
52,1403715526.51,1,3843,0,0,3843,0,0,0,0,0,0,0,0,0,0,
53,1403715526.56,1,3828,0,0,3828,0,0,0,0,0,0,0,0,0,0,
54,1403715526.61,1,3768,0,0,3768,0,0,0,0,0,0,0,0,0,0,
55,1403715526.66,1,3859,0,0,3859,0,0,0,0,0,0,0,0,0,0,
56,1403715526.71,1,3858,0,0,3858,0,0,0,0,0,0,0,0,0,0,
57,1403715526.76,1,3866,0,0,3866,0,0,0,0,0,0,0,0,0,0,
58,1403715526.81,1,3757,0,0,3757,0,0,0,0,0,0,0,0,0,0,
59,1403715526.86,1,3790,0,0,3790,0,0,0,0,0,0,0,0,0,0,
60,1403715526.91,1,3800,0,0,3800,0,0,0,0,0,0,0,0,0,0,
61,1403715526.96,1,3830,0,0,3830,0,0,0,0,0,0,0,0,0,0,
62,1403715527.01,1,3851,0,0,3851,0,0,0,0,0,0,0,0,0,0,
63,1403715527.06,1,3785,0,0,3785,0,0,0,0,0,0,0,0,0,0,
64,1403715527.11,1,3824,0,0,3824,0,0,0,0,0,0,0,0,0,0,
65,1403715527.16,1,3887,0,0,3887,0,0,0,0,0,0,0,0,0,0,
66,1403715527.21,1,3821,0,0,3821,0,0,0,0,0,0,0,0,0,0,
67,1403715527.26,1,3783,0,0,3783,0,0,0,0,0,0,0,0,0,0,
68,1403715527.31,1,3756,0,0,3756,0,0,0,0,0,0,0,0,0,0,
