kf_id,ts,n_fixed_kf,n_opt_kf,n_mps,n_edges,n_inlier_edges,ratio_inlier_edge,chi2_mean,chi2_std,pix_mean_px,pix_std_px,pix_median_px,pix_p90_px,opt_ms
2,1403715894.03,1,3,0,824,824,1,0.222112437446,0.384003377797,0.631058810866,0.701902240033,0.386904865503,1.47817420959,1.312782
3,1403715894.13,1,4,0,916,916,1,0.322638501619,0.52412471817,0.848011289422,0.840474279042,0.584078371525,1.81508636475,1.510642
4,1403715894.18,1,5,0,1205,1204,0.999170124481,0.385617050984,0.59697631977,0.928972709003,0.850386784469,0.69377297163,1.88358986378,2.389241
5,1403715894.23,1,6,0,1534,1532,0.998696219035,0.434820781102,0.794208241902,0.988135316135,0.905643058302,0.734210550785,2.02356982231,2.873225
6,1403715894.28,1,7,0,1786,1785,0.999440089586,0.465646775655,0.737084221538,1.02101149069,0.937174440447,0.758415997028,2.04856061935,3.253139
7,1403715894.38,1,8,0,2068,2063,0.997582205029,0.544857478126,0.874823909452,1.10887378336,1.0107105522,0.803680181503,2.34224557877,4.770861
8,1403715894.43,1,8,0,2254,2250,0.998225377107,0.542597322132,0.864686129202,1.11468295827,1.06657123029,0.78696000576,2.33921599388,4.958542
9,1403715894.48,1,9,0,2644,2628,0.993948562784,0.625291131475,1.20107420546,1.1562839095,1.08005632203,0.846290588379,2.35234022141,5.68872
10,1403715894.53,1,10,0,3218,3190,0.991298943443,1.16935581146,15.1177979331,1.16017130092,1.04889174232,0.862696230412,2.30063247681,8.462411
11,1403715894.58,1,10,0,3391,3371,0.994102034798,0.647846489055,1.92131561951,1.14208300987,1.01324522405,0.86985296011,2.34818267822,8.454345
12,1403715894.63,1,11,0,4024,3996,0.993041749503,0.678987836218,2.50709641857,1.15691132038,1.00074684116,0.889872014523,2.35291385651,9.627569
13,1403715894.68,1,11,0,4175,4155,0.995209580838,0.8227024872,11.6134141119,1.16379369842,1.02758315062,0.87837857008,2.34272694588,10.29819
14,1403715894.73,1,11,0,4428,4398,0.993224932249,0.869018760833,13.0360400989,1.1723423309,1.02269047527,0.887573182583,2.31507110596,10.108505
