model,test,runs,before_m,after_m,gain_mean,gain_std,coverage_mean,mean_gate
Zero,V103_future_nominal,1,0.03756985933389569,0.03756985933389569,0.0,0.0,0.0,0.0
Zero,V103_future_drop50,1,0.03214826518131095,0.03214826518131095,0.0,0.0,0.0,0.0
Zero,V202_independent_nominal,1,0.03382825359692189,0.03382825359692189,0.0,0.0,0.0,0.0
Zero,V202_independent_drop50,1,0.029996313775657136,0.029996313775657136,0.0,0.0,0.0,0.0
Always,V103_future_nominal,1,0.03756985933389569,0.03995104422331556,-6.338019177174692,0.0,100.0,1.0
Always,V103_future_drop50,1,0.03214826518131095,0.03814465681940068,-18.65230240036613,0.0,100.0,1.0
Always,V202_independent_nominal,1,0.03382825359692189,0.039330124702362135,-16.264129892714507,0.0,100.0,1.0
Always,V202_independent_drop50,1,0.029996313775657136,0.039065249739472695,-30.23350146168713,0.0,100.0,1.0
Oracle_GT_only,V103_future_nominal,1,0.03756985933389569,0.03160726586484394,15.870683507383465,0.0,77.18446601941747,0.5336561320526919
Oracle_GT_only,V103_future_drop50,1,0.03214826518131095,0.02727026123498483,15.17345934163158,0.0,67.07317073170732,0.33401657748708385
Oracle_GT_only,V202_independent_nominal,1,0.03382825359692189,0.02899416754236616,14.290084590697273,0.0,54.85327313769752,0.2788909911753266
Oracle_GT_only,V202_independent_drop50,1,0.029996313775657136,0.027081573695575293,9.716994234295672,0.0,55.53047404063205,0.20425974535163297
Threshold,V103_future_nominal,1,0.03756985933389569,0.03995104422331556,-6.338019177174692,0.0,100.0,1.0
Threshold,V103_future_drop50,1,0.03214826518131095,0.03814465681940068,-18.65230240036613,0.0,100.0,1.0
Threshold,V202_independent_nominal,1,0.03382825359692189,0.039330124702362135,-16.264129892714507,0.0,100.0,1.0
Threshold,V202_independent_drop50,1,0.029996313775657136,0.039065249739472695,-30.23350146168713,0.0,100.0,1.0
MLP,V103_future_nominal,3,0.03756985933389569,0.03597288173388913,4.250688260005709,0.30395790875504053,100.0,0.5449800292650858
MLP,V103_future_drop50,3,0.03214826518131095,0.0316988882948886,1.397826240041063,0.7506273571582857,100.0,0.5499033530553182
MLP,V202_independent_nominal,3,0.03382825359692189,0.03454678189541016,-2.124047865579611,0.2889349368467261,100.0,0.5568836530049642
MLP,V202_independent_drop50,3,0.029996313775657136,0.03244025751021145,-8.147480229846261,1.2280921681411814,100.0,0.5584428111712137
MLP_conservative,V103_future_nominal,3,0.03756985933389569,0.03597288173388913,4.250688260005709,0.30395790875504053,100.0,0.5449800292650858
MLP_conservative,V103_future_drop50,3,0.03214826518131095,0.0316988882948886,1.397826240041063,0.7506273571582857,100.0,0.5499033530553182
MLP_conservative,V202_independent_nominal,3,0.03382825359692189,0.03454678189541016,-2.124047865579611,0.2889349368467261,100.0,0.5568836530049642
MLP_conservative,V202_independent_drop50,3,0.029996313775657136,0.03244025751021145,-8.147480229846261,1.2280921681411814,100.0,0.5584428111712137
GRU,V103_future_nominal,3,0.03756985933389569,0.036101057706666,3.9095212313039807,0.5307793965279742,100.0,0.5584549109141032
GRU,V103_future_drop50,3,0.03214826518131095,0.0319302480477337,0.678161425967061,0.6622076679027084,100.0,0.5564469695091248
GRU,V202_independent_nominal,3,0.03382825359692189,0.0344735682853794,-1.9076204646763923,0.44384087864648747,100.0,0.5596696138381958
GRU,V202_independent_drop50,3,0.029996313775657136,0.03228997895419956,-7.646490151079145,0.485175060244882,100.0,0.5539162357648214
GRU_conservative,V103_future_nominal,3,0.03756985933389569,0.036101057706666,3.9095212313039807,0.5307793965279742,100.0,0.5584549109141032
GRU_conservative,V103_future_drop50,3,0.03214826518131095,0.0319302480477337,0.678161425967061,0.6622076679027084,100.0,0.5564469695091248
GRU_conservative,V202_independent_nominal,3,0.03382825359692189,0.0344735682853794,-1.9076204646763923,0.44384087864648747,100.0,0.5596696138381958
GRU_conservative,V202_independent_drop50,3,0.029996313775657136,0.03228997895419956,-7.646490151079145,0.485175060244882,100.0,0.5539162357648214
CfC_fixed,V103_future_nominal,3,0.03756985933389569,0.03604368015122082,4.062243537063085,0.3174924187304498,100.0,0.543398916721344
CfC_fixed,V103_future_drop50,3,0.03214826518131095,0.03186896465764801,0.8687887887191584,0.4978608078472793,100.0,0.5441821217536926
CfC_fixed,V202_independent_nominal,3,0.03382825359692189,0.03442639136770972,-1.7681603606112632,0.4260686490365936,100.0,0.5398519237836202
