frame_id,ts,state,n_kps,n_map_pts,n_inliers,n_lost_kps,reproj_mean_px,reproj_std_px,reproj_median_px,n_reproj,obs_per_mp,n_local_mps,n_local_kfs,is_kf,n_global_kfs,n_global_mps,image_name
0,1403715886.58,1,3313,0,0,3313,0,0,0,0,0,0,0,0,0,0,
1,1403715886.63,1,3373,0,0,3373,0,0,0,0,0,0,0,0,0,0,
2,1403715886.68,1,3409,0,0,3409,0,0,0,0,0,0,0,0,0,0,
3,1403715886.73,1,3325,0,0,3325,0,0,0,0,0,0,0,0,0,0,
4,1403715886.78,1,3409,0,0,3409,0,0,0,0,0,0,0,0,0,0,
5,1403715886.83,1,3425,0,0,3425,0,0,0,0,0,0,0,0,0,0,
6,1403715886.88,1,3294,0,0,3294,0,0,0,0,0,0,0,0,0,0,
7,1403715886.93,1,3437,0,0,3437,0,0,0,0,0,0,0,0,0,0,
8,1403715886.98,1,3421,0,0,3421,0,0,0,0,0,0,0,0,0,0,
9,1403715887.03,1,3305,0,0,3305,0,0,0,0,0,0,0,0,0,0,
10,1403715887.08,1,3386,0,0,3386,0,0,0,0,0,0,0,0,0,0,
11,1403715887.13,1,3400,0,0,3400,0,0,0,0,0,0,0,0,0,0,
12,1403715887.18,1,3323,0,0,3323,0,0,0,0,0,0,0,0,0,0,
13,1403715887.23,1,3417,0,0,3417,0,0,0,0,0,0,0,0,0,0,
14,1403715887.28,1,3348,0,0,3348,0,0,0,0,0,0,0,0,0,0,
15,1403715887.33,1,3353,0,0,3353,0,0,0,0,0,0,0,0,0,0,
16,1403715887.38,1,3408,0,0,3408,0,0,0,0,0,0,0,0,0,0,
17,1403715887.43,1,3306,0,0,3306,0,0,0,0,0,0,0,0,0,0,
18,1403715887.48,1,3368,0,0,3368,0,0,0,0,0,0,0,0,0,0,
19,1403715887.53,1,3335,0,0,3335,0,0,0,0,0,0,0,0,0,0,
20,1403715887.58,1,3448,0,0,3448,0,0,0,0,0,0,0,0,0,0,
21,1403715887.63,1,3379,0,0,3379,0,0,0,0,0,0,0,0,0,0,
22,1403715887.68,1,3368,0,0,3368,0,0,0,0,0,0,0,0,0,0,
23,1403715887.73,1,3347,0,0,3347,0,0,0,0,0,0,0,0,0,0,
24,1403715887.78,1,3432,0,0,3432,0,0,0,0,0,0,0,0,0,0,
25,1403715887.83,1,3332,0,0,3332,0,0,0,0,0,0,0,0,0,0,
26,1403715887.88,1,3343,0,0,3343,0,0,0,0,0,0,0,0,0,0,
27,1403715887.93,1,3301,0,0,3301,0,0,0,0,0,0,0,0,0,0,
28,1403715887.98,1,3359,0,0,3359,0,0,0,0,0,0,0,0,0,0,
29,1403715888.03,1,3461,0,0,3461,0,0,0,0,0,0,0,0,0,0,
30,1403715888.08,1,3373,0,0,3373,0,0,0,0,0,0,0,0,0,0,
31,1403715888.13,1,3370,0,0,3370,0,0,0,0,0,0,0,0,0,0,
32,1403715888.18,1,3325,0,0,3325,0,0,0,0,0,0,0,0,0,0,
33,1403715888.23,1,3357,0,0,3357,0,0,0,0,0,0,0,0,0,0,
34,1403715888.28,1,3427,0,0,3427,0,0,0,0,0,0,0,0,0,0,
35,1403715888.33,1,3396,0,0,3396,0,0,0,0,0,0,0,0,0,0,
36,1403715888.38,1,3464,0,0,3464,0,0,0,0,0,0,0,0,0,0,
37,1403715888.43,1,3335,0,0,3335,0,0,0,0,0,0,0,0,0,0,
38,1403715888.48,1,3370,0,0,3370,0,0,0,0,0,0,0,0,0,0,
39,1403715888.53,1,3360,0,0,3360,0,0,0,0,0,0,0,0,0,0,
40,1403715888.58,1,3399,0,0,3399,0,0,0,0,0,0,0,0,0,0,
41,1403715888.63,1,3448,0,0,3448,0,0,0,0,0,0,0,0,0,0,
42,1403715888.68,1,3431,0,0,3431,0,0,0,0,0,0,0,0,0,0,
43,1403715888.73,1,3385,0,0,3385,0,0,0,0,0,0,0,0,0,0,
44,1403715888.78,1,3320,0,0,3320,0,0,0,0,0,0,0,0,0,0,
45,1403715888.83,1,3254,0,0,3254,0,0,0,0,0,0,0,0,0,0,
46,1403715888.88,1,3368,0,0,3368,0,0,0,0,0,0,0,0,0,0,
47,1403715888.93,1,3341,0,0,3341,0,0,0,0,0,0,0,0,0,0,
48,1403715888.98,1,3308,0,0,3308,0,0,0,0,0,0,0,0,0,0,
49,1403715889.03,1,3296,0,0,3296,0,0,0,0,0,0,0,0,0,0,
50,1403715889.08,1,3383,0,0,3383,0,0,0,0,0,0,0,0,0,0,
51,1403715889.13,1,3430,0,0,3430,0,0,0,0,0,0,0,0,0,0,
52,1403715889.18,1,3497,0,0,3497,0,0,0,0,0,0,0,0,0,0,
53,1403715889.23,1,3334,0,0,3334,0,0,0,0,0,0,0,0,0,0,
54,1403715889.28,1,3408,0,0,3408,0,0,0,0,0,0,0,0,0,0,
55,1403715889.33,1,3349,0,0,3349,0,0,0,0,0,0,0,0,0,0,
56,1403715889.38,1,3445,0,0,3445,0,0,0,0,0,0,0,0,0,0,
57,1403715889.43,1,3321,0,0,3321,0,0,0,0,0,0,0,0,0,0,
58,1403715889.48,1,3456,0,0,3456,0,0,0,0,0,0,0,0,0,0,
59,1403715889.53,1,3415,0,0,3415,0,0,0,0,0,0,0,0,0,0,
