kf_id,ts,n_fixed_kf,n_opt_kf,n_mps,n_edges,n_inlier_edges,ratio_inlier_edge,chi2_mean,chi2_std,pix_mean_px,pix_std_px,pix_median_px,pix_p90_px,opt_ms
2,1403715894.03,1,3,0,824,824,1,0.222112437446,0.384003377797,0.631058810866,0.701902240033,0.386904865503,1.47817420959,1.365593
3,1403715894.13,1,4,0,916,916,1,0.322638501619,0.52412471817,0.848011289422,0.840474279042,0.584078371525,1.81508636475,1.454591
4,1403715894.18,1,5,0,1216,1215,0.999177631579,0.404764744878,0.648782832662,0.957545102759,0.912148116155,0.694036304951,1.97623479366,2.315695
5,1403715894.23,1,6,0,1529,1528,0.999345977763,0.433089905256,0.784141403398,0.992159145122,0.909953703448,0.732737898827,2.03728747368,2.983787
6,1403715894.28,1,7,0,1767,1765,0.998868138087,0.484720770436,0.906820844385,1.03481497325,0.951594955527,0.759277284145,2.09660673141,3.384953
7,1403715894.38,1,8,0,2036,2033,0.998526522593,0.55118114288,0.806205624385,1.11909574893,1.00416382399,0.816118001938,2.33515095711,4.605309
8,1403715894.43,1,8,0,2151,2146,0.997675499768,0.553819106827,1.22589874242,1.09829950356,0.971350513393,0.808091282845,2.28380870819,4.226379
9,1403715894.53,1,9,0,2692,2686,0.997771173848,0.55905919437,0.911231769067,1.10923582496,0.982975178925,0.824888765812,2.2290725708,6.011621
10,1403715894.58,1,9,0,3010,3001,0.997009966777,0.567629638329,0.895238720316,1.13022695374,1.00741027974,0.840854942799,2.33321547508,7.583989
11,1403715894.63,1,10,0,3576,3551,0.993008948546,0.715136818983,3.27374012635,1.14755302844,1.00913589244,0.862269461155,2.34224867821,8.402101
12,1403715894.68,1,10,0,3703,3683,0.994598973805,0.6731696271,2.82248982919,1.14424382683,0.98602834011,0.870656907558,2.30552959442,9.225549
13,1403715894.73,1,11,0,4220,4194,0.993838862559,0.696163367694,1.66897789373,1.18956343861,0.985985756205,0.930559933186,2.31962037086,9.928439
14,1403715894.78,1,10,0,4108,4078,0.992697176241,0.947069424319,10.0771323919,1.18442503606,0.96978663615,0.931366086006,2.32589268684,9.169841
15,1403715894.83,1,11,0,4658,4621,0.992056676685,1.20075741039,22.8885238013,1.2206675716,0.968636521745,0.972526729107,2.33354353905,13.504
16,1403715894.88,1,11,0,4689,4659,0.993602047345,4.71531417064,256.769896354,1.22318069801,0.966703639292,0.966731667519,2.38954591751,11.657204
17,1403715894.93,1,12,0,5131,5089,0.991814461119,10.4291788511,485.105319574,1.24602135831,0.982420720524,0.99552321434,2.41553020477,12.86217
18,1403715894.98,1,13,0,5468,5420,0.991221653255,2.92140333738,139.982010418,1.26339085872,0.993130583121,1.01200902462,2.47180891037,13.546929
19,1403715895.08,1,13,0,5507,5458,0.991102233521,0.974959491812,7.06119290729,1.24360364202,0.9761119441,0.994810461998,2.39569711685,12.733606
20,1403715895.13,1,13,0,5620,5582,0.993238434164,1.91993840617,60.5466019619,1.20077990792,0.955011530344,0.956296145916,2.35843348503,14.598786
21,1403715895.23,1,14,0,6316,6265,0.991925269158,2.4418319782,97.0071123521,1.16190969535,0.937164112755,0.9219160676,2.26222467422,15.246292
22,1403715895.28,1,14,0,6335,6281,0.991475927388,4.45224080221,205.830720091,1.1449186706,0.918689890991,0.914293587208,2.22950291634,11.814139
23,1403715895.43,1,15,0,6810,6772,0.994419970631,0.967788269565,16.8635572062,1.15228984626,0.933056511653,0.912275671959,2.24160122871,17.751675
24,1403715895.48,1,15,0,6774,6741,0.995128432241,0.681045596528,1.38696818715,1.14924632972,0.928611846256,0.905499398708,2.22384190559,13.513272
25,1403715895.53,1,15,0,6816,6776,0.994131455399,6.55028596913,360.444995304,1.15698808427,0.935213504722,0.914464235306,2.27075433731,15.447374
26,1403715895.58,1,16,0,7295,7242,0.992734749829,1.3493518477,49.9571238245,1.15476990665,0.928895325464,0.914336919785,2.27424693108,17.71877
27,1403715895.68,1,16,0,7306,7250,0.992335067068,1.5527209774,63.2602527953,1.14393415352,0.912277887748,0.902681112289,2.25539898872,15.396204
28,1403715895.73,1,16,0,7324,7283,0.994401966139,0.699401383005,1.21441324318,1.14499600078,0.920875979858,0.898933053017,2.24925923347,13.782045
29,1403715895.88,1,17,0,7672,7632,0.994786235662,0.708392465121,1.34601724724,1.14542181889,0.922328856989,0.900766849518,2.26118993759,14.366028
30,1403715895.93,1,16,0,6980,6943,0.994699140401,0.847379349211,11.8307706573,1.14645407296,0.914982692144,0.903161883354,2.25762176514,15.803879
31,1403715895.98,1,17,0,7264,7242,0.996971365639,0.689691031611,1.12716973048,1.15284130965,0.932417607082,0.899864971638,2.27399253845,12.806238
32,1403715896.08,1,18,0,7822,7764,0.99258501662,1.96548503832,107.635877319,1.15819438829,0.931649864915,0.911333799362,2.29035329819,15.558423
33,1403715896.13,1,19,0,8211,8169,0.994884910486,1.11584696039,28.9826690098,1.1575234818,0.929423067411,0.91834551096,2.28069257736,13.942033
34,1403715896.18,1,18,0,7769,7729,0.994851332218,0.730152567157,1.31323899044,1.15111948023,0.923378952286,0.907709360123,2.26833081245,16.33475
35,1403715896.28,1,19,0,8092,8058,0.995798319328,0.737066471031,1.75808947467,1.14818353257,0.914233598056,0.911382079124,2.26506853104,19.002642
36,1403715896.33,1,19,0,8001,7969,0.996000499938,0.704620310898,1.35655801269,1.13553925471,0.919920499689,0.896012783051,2.268835783,21.74563
37,1403715896.43,1,20,0,8318,8272,0.994469824477,0.701854498774,1.33869595409,1.11662376162,0.920428994823,0.863240838051,2.25209379196,25.121148
38,1403715896.53,1,20,0,8177,8125,0.993640699523,0.698642348628,1.33730218275,1.11071192089,0.918306767596,0.859972059727,2.23251605034,16.768926
39,1403715896.63,1,20,0,7969,7935,0.995733467185,0.672484245497,1.13175407054,1.11178041335,0.921011847672,0.862208604813,2.25368690491,17.202707
40,1403715896.68,1,21,0,8176,8131,0.994496086106,1.27376450763,51.7447568153,1.10822165863,0.918420057558,0.86004203558,2.24686479568,26.102412
41,1403715896.88,1,21,0,8223,8182,0.995013985164,0.679869912266,1.25774490078,1.09764878912,0.910534237289,0.849270582199,2.21961092949,20.082603
42,1403715897.08,1,20,0,7914,7881,0.995830174375,0.687180166489,1.94344510474,1.09506029027,0.896816951333,0.851489305496,2.19254255295,19.023396
43,1403715897.13,1,20,0,7983,7952,0.99611674809,0.688140132789,1.86041926303,1.10044447034,0.899017002918,0.854179859161,2.21717333794,16.375594
44,1403715897.23,1,20,0,8081,8032,0.993936394011,0.725269020453,1.94574765396,1.10508868974,0.886327742859,0.870578169823,2.206813097,16.385771
45,1403715897.28,1,21,0,8497,8451,0.994586324585,0.722324593675,1.8299884229,1.10802132473,0.885697218092,0.874077320099,2.19355607033,18.376983
46,1403715897.33,1,21,0,8556,8511,0.994740532959,0.777357667533,3.87041899324,1.10646456896,0.890681502781,0.866155385971,2.19683074951,16.200736
47,1403715897.38,1,22,0,8883,8827,0.993695823483,0.74540056755,2.46572709344,1.1054221588,0.89206787901,0.86940318346,2.20864725113,21.739513
48,1403715897.48,1,22,0,8903,8843,0.993260698641,0.760280392899,2.89347457759,1.10643313105,0.901997755832,0.86373347044,2.21014523506,20.145289
