model,condition,runs,before_m,after_m,gain_mean,gain_std
Zero,nominal,1,0.06548613757230867,0.06548613757230867,0.0,0.0
Always,nominal,1,0.06548613757230867,0.06410250218733499,2.1128676026218485,0.0
FixedHalf,nominal,1,0.06548613757230867,0.06205403164734731,5.240965572556011,0.0
GRU,nominal,3,0.06548613757230867,0.061800705629213304,5.627804722833097,0.6164193939856354
CfC_time,nominal,3,0.06548613757230867,0.06215167766913867,5.091856119149111,0.4845766644633406
Zero,drop50,1,0.039893412427791555,0.039893412427791555,0.0,0.0
Always,drop50,1,0.039893412427791555,0.04201497696794888,-5.318082387655942,0.0
FixedHalf,drop50,1,0.039893412427791555,0.03717703755703483,6.809081262911409,0.0
GRU,drop50,3,0.039893412427791555,0.03736396863228638,6.340504964531579,0.34484040197253707
CfC_time,drop50,3,0.039893412427791555,0.03735032043560433,6.374716619668245,0.28685802634071117
