input_id,frame_id,ts,frame_ts,state,pose_valid,imu_initialized,map_id,reset_epoch,map_create_epoch,map_change_index,big_change_index,context_changed,last_reloc_id,last_init_id,n_kps,n_associated,n_inlier_observed,n_outlier_associated,n_depth_valid,depth_valid_fraction,n_reproj,reproj_median_px,reproj_p90_px,reproj_mean_px,mean_observations,inlier_grid_coverage,is_kf,n_local_mps,n_local_kfs,imu_rotation_residual_rad,imu_dt,imu_interval_valid,track_core_ms,logger_ms,px,py,pz,qx,qy,qz,qw
0,0,1413393886.005760431290,1413393886.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1208,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.283431000000,1.426987000000,nan,nan,nan,nan,nan,nan,nan
1,1,1413393886.055760383606,1413393886.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.173824000000,0.001623000000,nan,nan,nan,nan,nan,nan,nan
2,2,1413393886.105760574341,1413393886.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.277499000000,0.001615000000,nan,nan,nan,nan,nan,nan,nan
3,3,1413393886.155760288239,1413393886.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.242460000000,0.001568000000,nan,nan,nan,nan,nan,nan,nan
4,4,1413393886.205760478973,1413393886.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.958444000000,0.001701000000,nan,nan,nan,nan,nan,nan,nan
5,5,1413393886.255760431290,1413393886.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.695169000000,0.001466000000,nan,nan,nan,nan,nan,nan,nan
6,6,1413393886.305760622025,1413393886.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.716251000000,0.001548000000,nan,nan,nan,nan,nan,nan,nan
7,7,1413393886.355760335922,1413393886.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.770514000000,0.001506000000,nan,nan,nan,nan,nan,nan,nan
8,8,1413393886.405760526657,1413393886.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.813452000000,0.001679000000,nan,nan,nan,nan,nan,nan,nan
9,9,1413393886.455760478973,1413393886.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.838288000000,0.001700000000,nan,nan,nan,nan,nan,nan,nan
10,10,1413393886.505760431290,1413393886.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.140008000000,0.002443000000,nan,nan,nan,nan,nan,nan,nan
11,11,1413393886.555760383606,1413393886.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.299546000000,0.001693000000,nan,nan,nan,nan,nan,nan,nan
12,12,1413393886.605760574341,1413393886.605760574341,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.817727000000,0.001454000000,nan,nan,nan,nan,nan,nan,nan
13,13,1413393886.655760288239,1413393886.655760288239,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.204637000000,0.001676000000,nan,nan,nan,nan,nan,nan,nan
14,14,1413393886.705760478973,1413393886.705760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.878325000000,0.001410000000,nan,nan,nan,nan,nan,nan,nan
15,15,1413393886.755760431290,1413393886.755760431290,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.347266000000,0.001876000000,nan,nan,nan,nan,nan,nan,nan
16,16,1413393886.805760622025,1413393886.805760622025,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.002866000000,0.001901000000,nan,nan,nan,nan,nan,nan,nan
17,17,1413393886.855760335922,1413393886.855760335922,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.922388000000,0.001667000000,nan,nan,nan,nan,nan,nan,nan
18,18,1413393886.905760526657,1413393886.905760526657,1,0,0,0,0,0,0,0,0,0,-1,1206,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.835828000000,0.001299000000,nan,nan,nan,nan,nan,nan,nan
19,19,1413393886.955760478973,1413393886.955760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.725218000000,0.001256000000,nan,nan,nan,nan,nan,nan,nan
20,20,1413393887.005760431290,1413393887.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.865051000000,0.001668000000,nan,nan,nan,nan,nan,nan,nan
21,21,1413393887.055760383606,1413393887.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.530221000000,0.001879000000,nan,nan,nan,nan,nan,nan,nan
22,22,1413393887.105760574341,1413393887.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.882412000000,0.001508000000,nan,nan,nan,nan,nan,nan,nan
23,23,1413393887.155760288239,1413393887.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.975741000000,0.001472000000,nan,nan,nan,nan,nan,nan,nan
24,24,1413393887.205760478973,1413393887.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.867668000000,0.001790000000,nan,nan,nan,nan,nan,nan,nan
25,25,1413393887.255760431290,1413393887.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.100932000000,0.001535000000,nan,nan,nan,nan,nan,nan,nan
26,26,1413393887.305760622025,1413393887.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.753679000000,0.001772000000,nan,nan,nan,nan,nan,nan,nan
27,27,1413393887.355760335922,1413393887.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1206,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.049278000000,0.001678000000,nan,nan,nan,nan,nan,nan,nan
28,28,1413393887.405760526657,1413393887.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,5.601488000000,0.002308000000,nan,nan,nan,nan,nan,nan,nan
29,29,1413393887.455760478973,1413393887.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.397652000000,0.001476000000,nan,nan,nan,nan,nan,nan,nan
30,30,1413393887.505760431290,1413393887.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.815926000000,0.001276000000,nan,nan,nan,nan,nan,nan,nan
31,31,1413393887.555760383606,1413393887.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1198,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.778702000000,0.001465000000,nan,nan,nan,nan,nan,nan,nan
32,32,1413393887.605760574341,1413393887.605760574341,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.399500000000,0.002114000000,nan,nan,nan,nan,nan,nan,nan
33,33,1413393887.655760288239,1413393887.655760288239,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,3.765754000000,0.001827000000,nan,nan,nan,nan,nan,nan,nan
34,34,1413393887.705760478973,1413393887.705760478973,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.756863000000,0.001601000000,nan,nan,nan,nan,nan,nan,nan
35,35,1413393887.755760431290,1413393887.755760431290,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.889098000000,0.001706000000,nan,nan,nan,nan,nan,nan,nan
36,36,1413393887.805760622025,1413393887.805760622025,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.466284000000,0.001596000000,nan,nan,nan,nan,nan,nan,nan
37,37,1413393887.855760335922,1413393887.855760335922,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.202294000000,0.001412000000,nan,nan,nan,nan,nan,nan,nan
38,38,1413393887.905760526657,1413393887.905760526657,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.770181000000,0.001247000000,nan,nan,nan,nan,nan,nan,nan
39,39,1413393887.955760478973,1413393887.955760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.851101000000,0.001709000000,nan,nan,nan,nan,nan,nan,nan
40,40,1413393888.005760431290,1413393888.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.703246000000,0.001379000000,nan,nan,nan,nan,nan,nan,nan
41,41,1413393888.055760383606,1413393888.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1200,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.115990000000,0.001590000000,nan,nan,nan,nan,nan,nan,nan
42,42,1413393888.105760574341,1413393888.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.922510000000,0.001655000000,nan,nan,nan,nan,nan,nan,nan
43,43,1413393888.155760288239,1413393888.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.830374000000,0.001584000000,nan,nan,nan,nan,nan,nan,nan
44,44,1413393888.205760478973,1413393888.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.191123000000,0.001927000000,nan,nan,nan,nan,nan,nan,nan
45,45,1413393888.255760431290,1413393888.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.743704000000,0.001679000000,nan,nan,nan,nan,nan,nan,nan
46,46,1413393888.305760622025,1413393888.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.248920000000,0.001666000000,nan,nan,nan,nan,nan,nan,nan
47,47,1413393888.355760335922,1413393888.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.930693000000,0.001646000000,nan,nan,nan,nan,nan,nan,nan
48,48,1413393888.405760526657,1413393888.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.217953000000,0.001272000000,nan,nan,nan,nan,nan,nan,nan
49,49,1413393888.455760478973,1413393888.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.877675000000,0.001278000000,nan,nan,nan,nan,nan,nan,nan
50,50,1413393888.505760431290,1413393888.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1199,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.786913000000,0.001592000000,nan,nan,nan,nan,nan,nan,nan
51,51,1413393888.555760383606,1413393888.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.985014000000,0.001592000000,nan,nan,nan,nan,nan,nan,nan
52,52,1413393888.605760574341,1413393888.605760574341,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.319418000000,0.001785000000,nan,nan,nan,nan,nan,nan,nan
53,53,1413393888.655760288239,1413393888.655760288239,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.840067000000,0.001897000000,nan,nan,nan,nan,nan,nan,nan
54,54,1413393888.705760478973,1413393888.705760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.853242000000,0.001298000000,nan,nan,nan,nan,nan,nan,nan
55,55,1413393888.755760431290,1413393888.755760431290,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.075880000000,0.001898000000,nan,nan,nan,nan,nan,nan,nan
56,56,1413393888.805760622025,1413393888.805760622025,1,0,0,0,0,0,0,0,0,0,-1,1206,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.384381000000,0.001283000000,nan,nan,nan,nan,nan,nan,nan
57,57,1413393888.855760335922,1413393888.855760335922,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.059335000000,0.001603000000,nan,nan,nan,nan,nan,nan,nan
58,58,1413393888.905760526657,1413393888.905760526657,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.819422000000,0.001512000000,nan,nan,nan,nan,nan,nan,nan
59,59,1413393888.955760478973,1413393888.955760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.869693000000,0.001430000000,nan,nan,nan,nan,nan,nan,nan
60,60,1413393889.005760431290,1413393889.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.922449000000,0.001548000000,nan,nan,nan,nan,nan,nan,nan
61,61,1413393889.055760383606,1413393889.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1200,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.978683000000,0.001581000000,nan,nan,nan,nan,nan,nan,nan
