input_id,frame_id,ts,frame_ts,state,pose_valid,imu_initialized,map_id,reset_epoch,map_create_epoch,map_change_index,big_change_index,context_changed,last_reloc_id,last_init_id,n_kps,n_associated,n_inlier_observed,n_outlier_associated,n_depth_valid,depth_valid_fraction,n_reproj,reproj_median_px,reproj_p90_px,reproj_mean_px,mean_observations,inlier_grid_coverage,is_kf,n_local_mps,n_local_kfs,imu_rotation_residual_rad,imu_dt,imu_interval_valid,track_core_ms,logger_ms,px,py,pz,qx,qy,qz,qw
0,0,1413393886.005760431290,1413393886.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1208,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.337953000000,3.894471000000,nan,nan,nan,nan,nan,nan,nan
1,1,1413393886.055760383606,1413393886.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.327614000000,0.015736000000,nan,nan,nan,nan,nan,nan,nan
2,2,1413393886.105760574341,1413393886.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.034036000000,0.016502000000,nan,nan,nan,nan,nan,nan,nan
3,3,1413393886.155760288239,1413393886.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.815076000000,0.015692000000,nan,nan,nan,nan,nan,nan,nan
4,4,1413393886.205760478973,1413393886.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.027279000000,0.015620000000,nan,nan,nan,nan,nan,nan,nan
5,5,1413393886.255760431290,1413393886.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.942833000000,0.020231000000,nan,nan,nan,nan,nan,nan,nan
6,6,1413393886.305760622025,1413393886.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.829793000000,0.015384000000,nan,nan,nan,nan,nan,nan,nan
7,7,1413393886.355760335922,1413393886.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.949065000000,0.016242000000,nan,nan,nan,nan,nan,nan,nan
8,8,1413393886.405760526657,1413393886.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.071796000000,0.017982000000,nan,nan,nan,nan,nan,nan,nan
9,9,1413393886.455760478973,1413393886.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,2.424005000000,0.017164000000,nan,nan,nan,nan,nan,nan,nan
10,10,1413393886.505760431290,1413393886.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.187359000000,0.020169000000,nan,nan,nan,nan,nan,nan,nan
11,11,1413393886.555760383606,1413393886.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.886220000000,0.015030000000,nan,nan,nan,nan,nan,nan,nan
12,12,1413393886.605760574341,1413393886.605760574341,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.832006000000,0.016525000000,nan,nan,nan,nan,nan,nan,nan
