input_id,start_ts,end_ts,pair_valid,imu_initialized,imu_ba1,imu_ba2,map_id,reset_epoch,map_create_epoch,dx,dy,dz,qx,qy,qz,qw
0,nan,1413393886.005760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
1,nan,1413393886.055760383606,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
2,nan,1413393886.105760574341,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
3,nan,1413393886.155760288239,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
4,nan,1413393886.205760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
5,nan,1413393886.255760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
6,nan,1413393886.305760622025,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
7,nan,1413393886.355760335922,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
8,nan,1413393886.405760526657,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
9,nan,1413393886.455760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
10,nan,1413393886.505760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
11,nan,1413393886.555760383606,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
12,nan,1413393886.605760574341,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
13,nan,1413393886.655760288239,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
14,nan,1413393886.705760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
15,nan,1413393886.755760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
16,nan,1413393886.805760622025,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
17,nan,1413393886.855760335922,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
18,nan,1413393886.905760526657,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
19,nan,1413393886.955760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
20,nan,1413393887.005760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
21,nan,1413393887.055760383606,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
22,nan,1413393887.105760574341,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
23,nan,1413393887.155760288239,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
24,nan,1413393887.205760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
25,nan,1413393887.255760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
26,nan,1413393887.305760622025,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
27,nan,1413393887.355760335922,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
28,nan,1413393887.405760526657,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
29,nan,1413393887.455760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
30,nan,1413393887.505760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
31,nan,1413393887.555760383606,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
32,nan,1413393887.605760574341,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
33,nan,1413393887.655760288239,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
34,nan,1413393887.705760478973,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
35,nan,1413393887.755760431290,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
36,nan,1413393887.805760622025,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
